名前,業界,電話番号,住所,レビュー,ホームページ,GoogleMapURL
体験学習施設 百花プラザ, コミュニティ センター,086-944-8716 ,〒704-8117 岡山県岡山市東区西大寺南１丁目２－３ ,★★★★☆ ,https://okayama-park.or.jp ,https://www.google.com/maps/place/%E4%BD%93%E9%A8%93%E5%AD%A6%E7%BF%92%E6%96%BD%E8%A8%AD+%E7%99%BE%E8%8A%B1%E3%83%97%E3%83%A9%E3%82%B6/data=!4m7!3m6!1s0x35540c07d71d216b:0x3e909baeb3fa77f0!8m2!3d34.6503713!4d134.0292465!16s%2Fg%2F11b7sz0v_9!19sChIJayEd1wcMVDUR8Hf6s66bkD4?authuser=0&hl=ja&rclk=1
農マルさん直市場 岡山店, ファーマーズ マーケット,086-271-0147 ,〒703-8248 岡山県岡山市中区さい１４７－４ ,★★★★☆ ,https://noumaru.jp ,https://www.google.com/maps/place/%E8%BE%B2%E3%83%9E%E3%83%AB%E3%81%95%E3%82%93%E7%9B%B4%E5%B8%82%E5%A0%B4+%E5%B2%A1%E5%B1%B1%E5%BA%97/data=!4m7!3m6!1s0x355408aeae6e1779:0xb9d62bb5e45bb5c2!8m2!3d34.6799674!4d133.9487213!16s%2Fg%2F11h171rbt!19sChIJeRdurq4IVDURwrVb5LUr1rk?authuser=0&hl=ja&rclk=1
実のり山陽店, 農業用品店,086-955-5561 ,〒709-0817 岡山県赤磐市上市１８０－１ ,★★★★☆ ,https://time-all.co.jp ,https://www.google.com/maps/place/%E5%AE%9F%E3%81%AE%E3%82%8A%E5%B1%B1%E9%99%BD%E5%BA%97/data=!4m7!3m6!1s0x35541186d1c1585f:0xa411ded674230fcf!8m2!3d34.7564797!4d134.0170528!16s%2Fg%2F1vs5tjmh!19sChIJX1jB0YYRVDURzw8jdNbeEaQ?authuser=0&hl=ja&rclk=1
株式会社おおもり農園, 農場,,〒703-8227 岡山県岡山市中区兼基１１１－１ 杜の家 就労継続支援Ａ型事業所 杜の家ファーム ,★★★★★ ,,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%8A%E3%81%8A%E3%82%82%E3%82%8A%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x35540f2c90688b43:0x711ce29610478b7b!8m2!3d34.6746003!4d133.9718865!16s%2Fg%2F11csrw1j14!19sChIJQ4tokCwPVDURe4tHEJbiHHE?authuser=0&hl=ja&rclk=1
瀬戸内フルーツガーデン, 果樹園,0869-66-7015 ,〒701-4271 岡山県瀬戸内市長船町長船７２３－１ ,★★★★☆ ,https://kowan.co.jp ,https://www.google.com/maps/place/%E7%80%AC%E6%88%B8%E5%86%85%E3%83%95%E3%83%AB%E3%83%BC%E3%83%84%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3/data=!4m7!3m6!1s0x35546d2e700985ed:0xd7533db79fcf24f1!8m2!3d34.715922!4d134.100623!16s%2Fg%2F12hnq4dt0!19sChIJ7YUJcC5tVDUR8STPn7c9U9c?authuser=0&hl=ja&rclk=1
農マル園芸 駐車場, 駐車場,,〒719-1164 岡山県総社市西郡 ,★★★★☆ ,,https://www.google.com/maps/place/%E8%BE%B2%E3%83%9E%E3%83%AB%E5%9C%92%E8%8A%B8+%E9%A7%90%E8%BB%8A%E5%A0%B4/data=!4m7!3m6!1s0x355155bd0259e1b1:0x75742e851fa757b1!8m2!3d34.6611307!4d133.7626561!16s%2Fg%2F11f7mhbkpy!19sChIJseFZAr1VUTURsVenH4UudHU?authuser=0&hl=ja&rclk=1
蒜山ハーブガーデン ハービル, コミュニティ ガーデン,0867-66-4533 ,〒717-0604 岡山県真庭市蒜山西茅部１４８０－６４ ,★★★★☆ ,https://jimdofree.com ,https://www.google.com/maps/place/%E8%92%9C%E5%B1%B1%E3%83%8F%E3%83%BC%E3%83%96%E3%82%AC%E3%83%BC%E3%83%87%E3%83%B3+%E3%83%8F%E3%83%BC%E3%83%93%E3%83%AB/data=!4m7!3m6!1s0x35568f4b92dc218f:0xf953085b5204d02b!8m2!3d35.257414!4d133.622405!16s%2Fg%2F1trxh3c1!19sChIJjyHckkuPVjURK9AEUlsIU_k?authuser=0&hl=ja&rclk=1
おおもり農園いちご&野菜直売所,,086-279-8391 ,,,https://omorifarm.jp ,https://www.google.com/maps/place/%E3%81%8A%E3%81%8A%E3%82%82%E3%82%8A%E8%BE%B2%E5%9C%92%E3%81%84%E3%81%A1%E3%81%94%26%E9%87%8E%E8%8F%9C%E7%9B%B4%E5%A3%B2%E6%89%80/data=!4m7!3m6!1s0x35540f32afbf15a7:0x22568e71a2fbf20c!8m2!3d34.7336846!4d133.9312078!16s%2Fg%2F1tj2l8_q!19sChIJpxW_rzIPVDURDPL7onGOViI?authuser=0&hl=ja&rclk=1
株式会社サラ 菜園, 農場,0865-63-8031 ,〒714-0054 岡山県笠岡市平成町９５－１ ,★★★☆☆ ,https://sarafarm.jp ,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B5%E3%83%A9+%E8%8F%9C%E5%9C%92/data=!4m7!3m6!1s0x35511541b1709f59:0x4b793fec83aa80c7!8m2!3d34.4966727!4d133.4818884!16s%2Fg%2F11h4pqgtbk!19sChIJWZ9wsUEVUTURx4Cqg-w_eUs?authuser=0&hl=ja&rclk=1
岡山県農業共済会館, 農業関連組織,086-224-5588 ,〒700-0984 岡山県岡山市北区桑田町１－３０ 農業共済会館 ,★★★☆☆ ,https://ok-nosai.or.jp ,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E7%9C%8C%E8%BE%B2%E6%A5%AD%E5%85%B1%E6%B8%88%E4%BC%9A%E9%A4%A8/data=!4m7!3m6!1s0x355407b26d08a507:0x65e44a9b56fed148!8m2!3d34.660809!4d133.915797!16s%2Fg%2F1tj4dwnh!19sChIJB6UIbbIHVDURSNH-VptK5GU?authuser=0&hl=ja&rclk=1
おおもり農園いちご&野菜直売所,,086-279-8391 ,,,https://omorifarm.jp ,https://www.google.com/maps/place/%E3%81%8A%E3%81%8A%E3%82%82%E3%82%8A%E8%BE%B2%E5%9C%92%E3%81%84%E3%81%A1%E3%81%94%26%E9%87%8E%E8%8F%9C%E7%9B%B4%E5%A3%B2%E6%89%80/data=!4m7!3m6!1s0x35540f32afbf15a7:0x22568e71a2fbf20c!8m2!3d34.7336846!4d133.9312078!16s%2Fg%2F1tj2l8_q!19sChIJpxW_rzIPVDURDPL7onGOViI?authuser=0&hl=ja&rclk=1
株式会社サラ 菜園, 農場,0865-63-8031 ,〒714-0054 岡山県笠岡市平成町９５－１ ,★★★☆☆ ,https://sarafarm.jp ,https://www.google.com/maps/place/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%82%B5%E3%83%A9+%E8%8F%9C%E5%9C%92/data=!4m7!3m6!1s0x35511541b1709f59:0x4b793fec83aa80c7!8m2!3d34.4966727!4d133.4818884!16s%2Fg%2F11h4pqgtbk!19sChIJWZ9wsUEVUTURx4Cqg-w_eUs?authuser=0&hl=ja&rclk=1
(株)ファーム安井, 農業関連組織,086-229-9060 ,〒709-0824 岡山県赤磐市穂崎８８５ ,★★★☆☆ ,https://farm-yasui.com ,https://www.google.com/maps/place/(%E6%A0%AA)%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E5%AE%89%E4%BA%95/data=!4m7!3m6!1s0x355411e5ad9290df:0x51e04002ea37631!8m2!3d34.736839!4d134.007456!16s%2Fg%2F11hblrd4fm!19sChIJ35CSreURVDURMXajLgAEHgU?authuser=0&hl=ja&rclk=1
岡山県農業共済会館, 農業関連組織,086-224-5588 ,〒700-0984 岡山県岡山市北区桑田町１－３０ 農業共済会館 ,★★★☆☆ ,https://ok-nosai.or.jp ,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E7%9C%8C%E8%BE%B2%E6%A5%AD%E5%85%B1%E6%B8%88%E4%BC%9A%E9%A4%A8/data=!4m7!3m6!1s0x355407b26d08a507:0x65e44a9b56fed148!8m2!3d34.660809!4d133.915797!16s%2Fg%2F1tj4dwnh!19sChIJB6UIbbIHVDURSNH-VptK5GU?authuser=0&hl=ja&rclk=1
全農岡山県本部資材部, 農業組合,086-296-5416 ,〒701-0221 岡山県岡山市南区藤田５６６－１２６ ,★★★★☆ ,,https://www.google.com/maps/place/%E5%85%A8%E8%BE%B2%E5%B2%A1%E5%B1%B1%E7%9C%8C%E6%9C%AC%E9%83%A8%E8%B3%87%E6%9D%90%E9%83%A8/data=!4m7!3m6!1s0x3553f8f760b5878f:0x38af84b10f573827!8m2!3d34.6079542!4d133.9018892!16s%2Fg%2F1vyk0bcb!19sChIJj4e1YPf4UzURJzhXD7GErzg?authuser=0&hl=ja&rclk=1
ルーラルカプリ農場, 農場,086-297-5864 ,〒709-0635 岡山県岡山市東区草ケ部１３４６ ,★★★★☆ ,https://yagimilk.com ,https://www.google.com/maps/place/%E3%83%AB%E3%83%BC%E3%83%A9%E3%83%AB%E3%82%AB%E3%83%97%E3%83%AA%E8%BE%B2%E5%A0%B4/data=!4m7!3m6!1s0x35540de4aa73f5ab:0x308d012d984fae80!8m2!3d34.7130164!4d134.0246699!16s%2Fg%2F1x5f85nz!19sChIJq_VzquQNVDURgK5PmC0BjTA?authuser=0&hl=ja&rclk=1
NOSAI岡山 新見支所,協会/組織,0867-72-4455 ,〒718-0017 岡山県新見市西方４２３－６ ,,https://ok-nosai.or.jp ,https://www.google.com/maps/place/NOSAI%E5%B2%A1%E5%B1%B1+%E6%96%B0%E8%A6%8B%E6%94%AF%E6%89%80/data=!4m7!3m6!1s0x3556c7c4869b345f:0x6e948d6616a50eab!8m2!3d34.9868706!4d133.4592346!16s%2Fg%2F1tgjzgn1!19sChIJXzSbhsTHVjURqw6lFmaNlG4?authuser=0&hl=ja&rclk=1
美作農園, 農業サービス業,0868-74-3887 ,〒701-2605 岡山県美作市奥５８５－１ ,★★★★☆ ,https://mimaen.co.jp ,https://www.google.com/maps/place/%E7%BE%8E%E4%BD%9C%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x3554477526e4353f:0x849df1dd8f4359b5!8m2!3d34.9292642!4d134.1141978!16s%2Fg%2F1tg9fcs4!19sChIJPzXkJnVHVDURtVlDj93xnYQ?authuser=0&hl=ja&rclk=1
（一社）岡山県農業開発研究所, 農業関連組織,086-957-2000 ,〒701-2221 岡山県赤磐市大苅田７９８－３ ,★★★★☆ ,https://nokaiken.or.jp ,https://www.google.com/maps/place/%EF%BC%88%E4%B8%80%E7%A4%BE%EF%BC%89%E5%B2%A1%E5%B1%B1%E7%9C%8C%E8%BE%B2%E6%A5%AD%E9%96%8B%E7%99%BA%E7%A0%94%E7%A9%B6%E6%89%80/data=!4m7!3m6!1s0x35541159720d5957:0x1a3b641dd18b1809!8m2!3d34.785781!4d134.016109!16s%2Fg%2F1tp1wn5_!19sChIJV1kNclkRVDURCRiL0R1kOxo?authuser=0&hl=ja&rclk=1
きびファーム美果美香, 果樹園,090-1325-5241 ,〒701-1221 岡山県岡山市北区芳賀２３７８－１ ,★★★★☆ ,https://kibipika.jp ,https://www.google.com/maps/place/%E3%81%8D%E3%81%B3%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E7%BE%8E%E6%9E%9C%E7%BE%8E%E9%A6%99/data=!4m7!3m6!1s0x355406ae8af7118f:0xaead5cf5b924602d!8m2!3d34.7123652!4d133.8731499!16s%2Fg%2F11g6bkl23g!19sChIJjxH3iq4GVDURLWAkufVcra4?authuser=0&hl=ja&rclk=1
Foret Farm｜ フォレットファーム,インターネット ショップ,090-6839-2703 ,〒710-0145 岡山県倉敷市福江５９ ,,https://foret.co ,https://www.google.com/maps/place/Foret+Farm%EF%BD%9C+%E3%83%95%E3%82%A9%E3%83%AC%E3%83%83%E3%83%88%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0/data=!4m7!3m6!1s0x3553e2b401cf4361:0x40f2e77511babd2!8m2!3d34.5298769!4d133.805378!16s%2Fg%2F11hcz18zr1!19sChIJYUPPAbTiUzUR0qsbUXcuDwQ?authuser=0&hl=ja&rclk=1
JA全農 岡山県本部, 農業組合,086-234-6862 ,〒700-0826 岡山県岡山市北区磨屋町９－１８ ,★★★★☆ ,,https://www.google.com/maps/place/JA%E5%85%A8%E8%BE%B2+%E5%B2%A1%E5%B1%B1%E7%9C%8C%E6%9C%AC%E9%83%A8/data=!4m7!3m6!1s0x3554063591f817cb:0x95f62387de82132d!8m2!3d34.6627949!4d133.9252316!16s%2Fg%2F1tnmpk3y!19sChIJyxf4kTUGVDURLROC3ocj9pU?authuser=0&hl=ja&rclk=1
すど観光農園, 果樹園,0866-67-1426 ,〒715-0024 岡山県井原市高屋町１８４０ ,★★★★☆ ,,https://www.google.com/maps/place/%E3%81%99%E3%81%A9%E8%A6%B3%E5%85%89%E8%BE%B2%E5%9C%92/data=!4m7!3m6!1s0x35513ef62fc81ba3:0x14d334840ddf6474!8m2!3d34.5930793!4d133.4326379!16s%2Fg%2F1w_vl2rt!19sChIJoxvIL_Y-UTURdGTfDYQ00xQ?authuser=0&hl=ja&rclk=1
JA晴れの国岡山 山手直売所「ふれあいの里」, ファーマーズ マーケット,0866-93-2338 ,〒719-1162 岡山県総社市岡谷２３ ,★★★★☆ ,https://ja-hareoka.or.jp ,https://www.google.com/maps/place/JA%E6%99%B4%E3%82%8C%E3%81%AE%E5%9B%BD%E5%B2%A1%E5%B1%B1+%E5%B1%B1%E6%89%8B%E7%9B%B4%E5%A3%B2%E6%89%80%E3%80%8C%E3%81%B5%E3%82%8C%E3%81%82%E3%81%84%E3%81%AE%E9%87%8C%E3%80%8D/data=!4m7!3m6!1s0x35515573b83384c1:0x12319f6659592a32!8m2!3d34.6619894!4d133.7752345!16s%2Fg%2F1tf73bj5!19sChIJwYQzuHNVUTURMipZWWafMRI?authuser=0&hl=ja&rclk=1
中山いちご園, 果樹園,086-294-2747 ,〒701-1141 岡山県岡山市北区菅野３９８０ ,★★★★☆ ,https://www5e.biglobe.ne.jp ,https://www.google.com/maps/place/%E4%B8%AD%E5%B1%B1%E3%81%84%E3%81%A1%E3%81%94%E5%9C%92/data=!4m7!3m6!1s0x3554046139547919:0x9319ebd5f66b8a4c!8m2!3d34.746871!4d133.8833268!16s%2Fg%2F1vzg01y_!19sChIJGXlUOWEEVDURTIpr9tXrGZM?authuser=0&hl=ja&rclk=1
PLANT-5 鏡野店, スーパーマーケット,0868-54-5800 ,〒708-0331 岡山県苫田郡鏡野町布原１３６ ,★★★★☆ ,https://plant-co.jp ,https://www.google.com/maps/place/PLANT-5+%E9%8F%A1%E9%87%8E%E5%BA%97/data=!4m7!3m6!1s0x35542fd48fca33f7:0xdc3f426451e99d59!8m2!3d35.0800005!4d133.9396804!16s%2Fg%2F1tk8ldvd!19sChIJ9zPKj9QvVDURWZ3pUWRCP9w?authuser=0&hl=ja&rclk=1
岡山県備前県民局 農林水産事業部農地農村整備第一課第一班,農業関連組織,086-233-9822 ,〒700-0817 岡山県岡山市北区弓之町６－１ ,,,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E7%9C%8C%E5%82%99%E5%89%8D%E7%9C%8C%E6%B0%91%E5%B1%80+%E8%BE%B2%E6%9E%97%E6%B0%B4%E7%94%A3%E4%BA%8B%E6%A5%AD%E9%83%A8%E8%BE%B2%E5%9C%B0%E8%BE%B2%E6%9D%91%E6%95%B4%E5%82%99%E7%AC%AC%E4%B8%80%E8%AA%B2%E7%AC%AC%E4%B8%80%E7%8F%AD/data=!4m7!3m6!1s0x35540639aee049cb:0xaa602fe056cc06d8!8m2!3d34.6695649!4d133.9274338!16s%2Fg%2F1td7fkgn!19sChIJy0ngrjkGVDUR2AbMVuAvYKo?authuser=0&hl=ja&rclk=1
アット・ファーム倉敷(株), 農業関連組織,086-697-0010 ,〒710-1304 岡山県倉敷市真備町尾崎２－２ ,★★★☆☆ ,https://nakamotoya.co.jp ,https://www.google.com/maps/place/%E3%82%A2%E3%83%83%E3%83%88%E3%83%BB%E3%83%95%E3%82%A1%E3%83%BC%E3%83%A0%E5%80%89%E6%95%B7(%E6%A0%AA)/data=!4m7!3m6!1s0x35515101df42a6a5:0x54a4f97f40b03704!8m2!3d34.6268284!4d133.6791806!16s%2Fg%2F1tgqg6zp!19sChIJpaZC3wFRUTURBDewQH_5pFQ?authuser=0&hl=ja&rclk=1
DCM 岡山店, ホームセンター,086-296-0303 ,〒701-0221 岡山県岡山市南区藤田５６０－２３６ ,★★★★☆ ,https://dcm-hc.co.jp ,https://www.google.com/maps/place/DCM+%E5%B2%A1%E5%B1%B1%E5%BA%97/data=!4m7!3m6!1s0x3553f915dd995981:0xb80dfc832307c3c!8m2!3d34.5914283!4d133.8878567!16s%2Fg%2F1tffb09g!19sChIJgVmZ3RX5UzURPHwwMsjfgAs?authuser=0&hl=ja&rclk=1
NOSAI岡山, 協会/組織,086-277-5511 ,〒703-8265 岡山県岡山市中区倉田４３６－２ ,★★★☆☆ ,https://ok-nosai.or.jp ,https://www.google.com/maps/place/NOSAI%E5%B2%A1%E5%B1%B1/data=!4m7!3m6!1s0x3554085b8ce32a67:0xdd25879f34cb5732!8m2!3d34.6347275!4d133.9679914!16s%2Fg%2F1tf6dgbh!19sChIJZyrjjFsIVDURMlfLNJ-HJd0?authuser=0&hl=ja&rclk=1
ぽかぽか,花屋,086-267-3211 ,〒702-8011 岡山県岡山市南区郡３００４－３５ ,,,https://www.google.com/maps/place/%E3%81%BD%E3%81%8B%E3%81%BD%E3%81%8B/data=!4m7!3m6!1s0x3553f79a30e958e9:0xec91bfa4fe072aed!8m2!3d34.580892!4d133.957178!16s%2Fg%2F1td1gtm3!19sChIJ6VjpMJr3UzUR7SoH_qS_kew?authuser=0&hl=ja&rclk=1
きよね夢てらす（ＮＰＯ法人）, NPO法人,0866-92-0355 ,〒719-1172 岡山県総社市清音軽部６６６－６ ,★★★★☆ ,https://kiyoneyumeterasu.jimdo.com ,https://www.google.com/maps/place/%E3%81%8D%E3%82%88%E3%81%AD%E5%A4%A2%E3%81%A6%E3%82%89%E3%81%99%EF%BC%88%EF%BC%AE%EF%BC%B0%EF%BC%AF%E6%B3%95%E4%BA%BA%EF%BC%89/data=!4m7!3m6!1s0x35515439250d2319:0xfd11d7d6628e133d!8m2!3d34.651037!4d133.7387381!16s%2Fg%2F1tm__0sq!19sChIJGSMNJTlUUTURPROOYtbXEf0?authuser=0&hl=ja&rclk=1
JA晴れの国岡山 倉敷西アグリセンター, 農業組合,086-522-3773 ,〒713-8113 岡山県倉敷市玉島八島１５０７－１ ,★★★☆☆ ,https://ja-hareoka.or.jp ,https://www.google.com/maps/place/JA%E6%99%B4%E3%82%8C%E3%81%AE%E5%9B%BD%E5%B2%A1%E5%B1%B1+%E5%80%89%E6%95%B7%E8%A5%BF%E3%82%A2%E3%82%B0%E3%83%AA%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC/data=!4m7!3m6!1s0x35515afc8ce456fb:0xb7f810a9d29612b1!8m2!3d34.5633215!4d133.6681364!16s%2Fg%2F1tf84xdc!19sChIJ-1bkjPxaUTURsRKW0qkQ-Lc?authuser=0&hl=ja&rclk=1
岡山市 第一・第二・第三・第四農業委員会 事務局, 農業関連組織,086-803-1562 ,〒700-0913 岡山県岡山市北区大供１丁目１－１ ,★★☆☆☆ ,,https://www.google.com/maps/place/%E5%B2%A1%E5%B1%B1%E5%B8%82+%E7%AC%AC%E4%B8%80%E3%83%BB%E7%AC%AC%E4%BA%8C%E3%83%BB%E7%AC%AC%E4%B8%89%E3%83%BB%E7%AC%AC%E5%9B%9B%E8%BE%B2%E6%A5%AD%E5%A7%94%E5%93%A1%E4%BC%9A+%E4%BA%8B%E5%8B%99%E5%B1%80/data=!4m7!3m6!1s0x355407b0d391113d:0x7b2191a3744f806a!8m2!3d34.655107!4d133.919566!16s%2Fg%2F1tfbw8jr!19sChIJPRGR07AHVDURaoBPdKORIXs?authuser=0&hl=ja&rclk=1
ひるぜん農園 行列のできるとうもろこし 直売所 販売 産直 冷凍（冬季）岡山 西日本最大級, 農業関連組織,0867-45-0087 ,〒717-0504 岡山県真庭市蒜山下福田４６２ ,★★★★☆ ,https://010913.shop ,https://www.google.com/maps/place/%E3%81%B2%E3%82%8B%E3%81%9C%E3%82%93%E8%BE%B2%E5%9C%92+%E8%A1%8C%E5%88%97%E3%81%AE%E3%81%A7%E3%81%8D%E3%82%8B%E3%81%A8%E3%81%86%E3%82%82%E3%82%8D%E3%81%93%E3%81%97+%E7%9B%B4%E5%A3%B2%E6%89%80+%E8%B2%A9%E5%A3%B2+%E7%94%A3%E7%9B%B4+%E5%86%B7%E5%87%8D%EF%BC%88%E5%86%AC%E5%AD%A3%EF%BC%89%E5%B2%A1%E5%B1%B1+%E8%A5%BF%E6%97%A5%E6%9C%AC%E6%9C%80%E5%A4%A7%E7%B4%9A/data=!4m7!3m6!1s0x3556878ac851339b:0xebb4c8fbe64dd212!8m2!3d35.2808879!4d133.6804608!16s%2Fg%2F11jnv0tjxb!19sChIJmzNRyIqHVjUREtJN5vvItOs?authuser=0&hl=ja&rclk=1
吉備路学園, 障害者向けサービス＆支援組織,0866-92-6580 ,〒719-1155 岡山県総社市小寺１５５３－１ ,★★★☆☆ ,https://kibijigakuen.ecgo.jp ,https://www.google.com/maps/place/%E5%90%89%E5%82%99%E8%B7%AF%E5%AD%A6%E5%9C%92/data=!4m7!3m6!1s0x355154d04373aabb:0x9e55ec0389589b41!8m2!3d34.6974242!4d133.7447268!16s%2Fg%2F1tk6y9cq!19sChIJu6pzQ9BUUTURQZtYiQPsVZ4?authuser=0&hl=ja&rclk=1
